Region Code,Crime rate (%),Education (%),Unemployment (%),Urban population (%)
Austria,-0.4770473526486892,0.21497384494520103,-0.04075944455843047,-1.1476733322576402
Belgium,0.924469153142444,-0.32417681407556365,-0.2154427783802733,1.9235248364432045
Bulgaria,1.6878968432888342,1.0087234262813267,0.3260755564674397,0.17494634640435514
Croatia,-1.3658139172967247,-0.5525670237996375,-0.44253111234866876,-1.2409860324584363
Cyprus,-1.3886028035697515,3.820543877146563,-0.7744294466101702,-0.5172855257965302
Czechia,-0.11242517228026412,0.6118486356132636,-0.4075944455843003,0.048056691319590616
Denmark,-0.16939738796283052,-0.9363374581720566,-0.8093661133745388,1.1455546003758148
Estonia,-1.1151361682934329,-0.3204327122768084,-0.2154427783802733,-0.3292545784463067
Finland,0.5256636433644792,-0.691098790353584,0.08151888911685969,0.942609238181782
France,2.588057851073383,-1.205912787682439,-0.023291111176245938,0.5879428914771662
Germany,0.04709703163092163,-0.0864263498546016,-0.5473411126417744,0.312924205194988
Greece,1.6537135138792942,-0.5525670237996375,1.3043022258697592,0.4895546050729802
Hungary,-0.6821473291059281,0.480805072656828,-0.35518944543774733,-0.1174074189109434
Ireland,1.4372190942855416,1.6171399685790642,-0.9665811138141972,-0.764661788755628
Italy,-0.15800294482631727,-0.4233955117425792,0.011645555588122502,-0.18791902416727652
Latvia,-0.5112306820582289,-0.17066864032659593,1.024808891754811,-0.4006251290601375
Lithuania,-0.9784028506552735,-0.8277585060081527,1.7410105604243662,-0.4216302473480147
Luxembourg,-0.14660850168980405,0.27300742282590806,-0.6696194463170645,1.4061273874637286
Malta,-0.2491584899184236,-0.0864263498546016,-1.1063277808716716,1.663108221238473
Netherlands,1.209330231555276,-0.4776849878245312,-1.2810111146935144,1.4672686797291874
North Macedonia,-1.1151361682934329,-1.2882830272550558,1.6536688935134447,-1.1684441927207463
Norway,-1.0239806232013264,0.6062324829151308,-0.9141761136676444,0.7440366887168249
Portugal,-0.10103072914375087,-1.1853202277892847,-0.9840494471963815,-0.5571874419493389
Romania,-0.2491584899184236,-0.874559778492594,-0.704556113081433,-1.5032767102613431
Serbia,0.04709703163092163,-0.5806477872903023,-0.4075944455843003,-1.3274271697992575
Slovakia,-1.0239806232013264,0.6680101625945934,2.771642229973239,-1.5371660089116743
Slovenia,-0.7846973173345476,-0.01716046657762819,-0.4075944455843003,-1.4311253002316062
Spain,0.924469153142444,1.016211629878837,1.409112226162865,0.5750587111147137
Sweden,0.9700469256884974,0.47893302175745034,1.531390559838155,1.1347006544947185
Switzerland,-0.36310292128355637,-0.19500530201850558,-0.5822777794061431,0.03665614384735941
